Step,CC,CD,DC,DD
648,419,1818,2,15
649,423,1805,1,14
650,427,1779,2,14
651,431,1796,1,12
652,428,1787,0,10
653,425,1791,1,10
654,432,1795,1,11
655,436,1799,2,11
656,426,1802,2,11
657,421,1765,2,13
658,424,1783,2,12
659,418,1760,2,11
660,427,1776,2,10
661,423,1775,2,12
662,436,1783,1,11
663,440,1780,1,11
664,449,1761,1,11
665,454,1814,1,10
666,451,1795,1,11
667,445,1773,1,12
668,459,1760,1,10
669,447,1770,1,9
670,444,1774,1,12
671,433,1782,0,12
672,449,1790,0,9
673,433,1794,0,10
674,451,1784,0,11
675,442,1800,0,10
676,451,1763,0,7
677,462,1774,0,7
678,468,1781,0,4
679,459,1770,1,4
680,452,1768,1,5
681,463,1754,1,8
682,460,1774,1,9
683,455,1764,1,8
684,453,1799,1,7
685,460,1750,0,7
686,457,1750,0,8
687,457,1750,0,8
688,456,1776,2,9
689,481,1758,4,9
690,473,1784,4,8
691,470,1795,4,6
692,464,1724,3,6
693,457,1775,2,8
694,456,1764,3,8
695,467,1750,5,8
696,461,1732,4,9
697,463,1752,3,8
698,459,1759,3,10
699,450,1774,3,10
700,458,1757,3,10
701,440,1761,4,10
702,435,1772,1,11
703,448,1767,1,13
704,452,1742,0,15
705,433,1762,0,13
706,438,1761,0,15
707,428,1749,0,15
708,432,1758,0,17
709,437,1773,0,17
710,434,1765,0,17
711,440,1769,0,17
712,432,1765,0,15
713,443,1789,0,14
714,433,1769,0,13
715,445,1784,1,13
716,439,1781,1,12
717,447,1766,1,13
718,431,1765,2,13
719,429,1779,3,12
720,432,1785,3,10
721,441,1762,3,15
722,426,1791,3,15
723,433,1791,3,15
724,434,1793,4,15
725,439,1791,4,14
726,433,1814,4,13
727,440,1769,3,17
728,446,1766,3,18
729,442,1761,3,16
730,447,1744,3,16
731,451,1760,3,12
732,445,1759,3,13
733,432,1772,3,13
734,445,1779,4,15
735,446,1781,4,17
736,432,1758,3,16
737,421,1767,2,14
738,435,1766,2,13
739,453,1770,2,12
740,451,1767,2,10
741,455,1765,1,9
742,458,1786,1,11
743,452,1760,1,12
744,440,1782,2,11
745,439,1768,2,13
746,440,1779,2,12
747,441,1799,2,10
748,447,1787,1,10
749,442,1760,2,10
750,445,1763,2,10
751,448,1763,1,9
752,444,1775,2,8
753,435,1751,1,8
754,446,1793,1,7
755,423,1797,1,7
756,430,1795,1,7
757,424,1808,1,7
758,436,1782,1,8
759,419,1815,1,7
760,412,1792,1,7
761,417,1793,0,8
762,424,1776,0,8
763,435,1789,0,6
764,415,1791,0,8
765,402,1788,0,7
766,401,1811,0,9
767,398,1796,0,8
768,401,1806,1,12
769,395,1837,1,12
770,402,1835,1,12
771,404,1810,1,12
772,387,1807,1,10
773,392,1819,1,12
774,392,1824,1,11
775,403,1800,1,11
776,405,1788,1,11
777,413,1785,1,9
778,415,1804,1,9
779,422,1809,1,8
780,432,1800,1,7
781,422,1811,1,6
782,423,1835,1,8
783,428,1798,1,8
784,413,1809,1,9
785,417,1788,2,10
786,413,1795,3,12
787,407,1788,2,13
788,398,1815,3,11
789,398,1806,2,11
790,412,1777,1,10
791,402,1824,3,12
792,410,1803,3,11
793,409,1811,3,11
794,417,1795,3,11
795,431,1798,3,11
796,426,1790,4,11
797,421,1779,5,11
798,420,1774,5,10
799,441,1781,5,10
800,443,1771,5,11
801,437,1776,6,13
802,449,1762,7,13
803,458,1778,7,14
804,443,1778,8,12
805,451,1759,10,12
806,453,1754,10,10
807,457,1749,9,10
808,460,1760,8,9
809,457,1734,8,10
810,467,1751,8,10
811,460,1748,7,10
812,466,1741,7,10
813,474,1724,6,9
814,486,1740,6,9
815,491,1735,6,8
816,492,1721,5,9
817,498,1741,4,9
818,504,1720,5,11
819,499,1710,5,13
820,496,1706,7,15
821,511,1703,7,16
822,505,1720,7,14
823,510,1674,7,11
824,522,1695,7,10
825,518,1675,6,10
826,514,1715,6,12
827,517,1694,6,12
828,526,1671,6,13
829,541,1692,7,17
830,536,1671,5,18
831,536,1692,5,18
832,541,1662,5,21
833,528,1667,5,21
834,543,1656,6,17
835,537,1633,5,16
836,543,1663,7,15
837,548,1651,8,14
838,543,1637,7,15
839,552,1651,6,15
840,553,1666,5,15
841,539,1667,6,17
842,533,1661,6,15
843,539,1677,6,14
844,532,1663,5,12
845,532,1664,4,13
846,537,1681,5,12
847,535,1682,4,7
848,523,1689,5,5
849,525,1695,6,6
850,531,1673,5,7
851,544,1666,5,9
852,541,1653,8,8
853,537,1692,8,8
854,537,1697,6,8
855,515,1695,4,9
856,520,1687,2,10
857,539,1674,4,11
858,528,1667,4,11
859,534,1677,5,11
860,541,1657,5,10
861,538,1691,5,11
862,546,1659,5,11
863,529,1671,4,10
864,537,1674,5,10
865,545,1675,6,11
866,546,1676,6,9
867,554,1646,6,10
868,550,1694,7,8
869,563,1683,7,8
870,553,1658,3,6
871,574,1647,3,6
872,576,1651,3,9
873,580,1643,4,10
874,582,1619,3,11
875,592,1645,4,11
876,595,1629,3,13
877,596,1622,3,12
878,580,1635,4,13
879,592,1635,3,11
880,600,1618,3,11
881,599,1633,3,11
882,599,1635,3,13
883,604,1639,3,12
884,604,1637,3,14
885,601,1619,3,12
886,595,1624,4,10
887,607,1609,4,9
888,624,1609,6,8
889,637,1616,8,10
890,624,1614,9,9
891,614,1597,9,9
892,609,1594,8,9
893,599,1584,7,9
894,607,1628,7,9
895,596,1611,7,11
896,602,1599,7,12
897,598,1608,6,10
898,582,1613,7,12
899,595,1618,6,11
900,586,1615,6,9
901,578,1603,7,11
902,583,1631,6,12
903,599,1624,6,14
904,604,1618,5,16
905,589,1614,5,16
906,593,1622,4,14
907,595,1624,3,12
908,591,1602,4,16
909,593,1597,5,14
910,595,1607,4,14
911,600,1607,5,15
912,598,1594,5,14
913,611,1589,6,15
914,606,1605,5,15
915,614,1591,6,14
916,598,1610,6,14
917,616,1608,6,12
918,611,1593,7,13
919,615,1598,7,12
920,613,1601,5,11
921,601,1585,5,11
922,618,1579,6,11
923,609,1577,5,10
924,617,1575,5,10
925,636,1584,5,9
926,626,1584,6,10
927,629,1566,3,9
928,635,1601,3,10
929,616,1588,4,7
930,615,1594,4,7
931,593,1655,5,9
932,597,1646,5,8
933,609,1639,5,6
934,599,1622,6,7
935,608,1629,6,6
936,610,1611,5,6
937,612,1605,5,5
938,605,1602,3,7
939,593,1616,5,6
940,588,1626,5,6
941,594,1614,3,6
942,595,1615,2,9
943,599,1621,2,7
944,607,1607,2,8
945,615,1601,2,8
946,635,1606,2,9
947,643,1576,2,9
948,620,1584,2,9
949,632,1598,2,11
950,622,1593,3,12
951,640,1601,3,11
